gene_id,Mmus_C57-6J_EYE_FLT_Rep1_M23,Mmus_C57-6J_EYE_GC_Rep1_M33
ENSMUSG00000001946,521,479
ENSMUSG00000001948,95,91
ENSMUSG00000001962,941,770
ENSMUSG00000001964,1135,928
ENSMUSG00000001983,338,311
ENSMUSG00000001985,420,312
ENSMUSG00000001986,1176,777
ENSMUSG00000001988,2,2
ENSMUSG00000001995,4554,3675
ENSMUSG00000001998,793,588
ENSMUSG00000001999,401,361
ENSMUSG00000002006,1090,976
ENSMUSG00000002007,92,47
ENSMUSG00000002010,2438,1924
ENSMUSG00000002012,229,245
ENSMUSG00000002014,907,758
ENSMUSG00000002015,2456,2059
ENSMUSG00000002017,1260,991
ENSMUSG00000002020,1733,2334
ENSMUSG00000002028,17847,11704
ENSMUSG00000002031,1085,939
ENSMUSG00000002032,463,378
ENSMUSG00000002033,1,5
ENSMUSG00000002043,451,348
ENSMUSG00000002052,9401,7972
ENSMUSG00000002055,650,526
ENSMUSG00000002057,20,18
ENSMUSG00000002058,32453,25348
ENSMUSG00000002059,663,556
ENSMUSG00000002064,1573,1371
ENSMUSG00000002068,130,98
ENSMUSG00000002076,14,15
ENSMUSG00000002083,98,62
ENSMUSG00000002100,5,1
ENSMUSG00000002102,4262,3882
ENSMUSG00000002103,2450,1910
ENSMUSG00000002104,313,324
ENSMUSG00000002105,974,1008
ENSMUSG00000002107,7416,5519
ENSMUSG00000002108,139,98
ENSMUSG00000002109,380,264
ENSMUSG00000002111,107,110
ENSMUSG00000002129,4332,4025
ENSMUSG00000002147,2330,2050
ENSMUSG00000002190,81,45
ENSMUSG00000002204,135,87
ENSMUSG00000002205,1226,1011
ENSMUSG00000002210,850,656
ENSMUSG00000002221,1357,1015
ENSMUSG00000002222,10354,7676
ENSMUSG00000002227,616,467
ENSMUSG00000002228,316,279
ENSMUSG00000002233,1420,1237
ENSMUSG00000002240,0,0
ENSMUSG00000002249,1350,971
ENSMUSG00000002250,1934,1453
ENSMUSG00000002257,242,217
ENSMUSG00000002265,7542,5996
ENSMUSG00000002266,170,150
ENSMUSG00000002274,903,812
ENSMUSG00000002279,509,373
ENSMUSG00000002280,709,539
ENSMUSG00000002289,449,363
ENSMUSG00000002297,142,121
ENSMUSG00000002307,1172,1067
ENSMUSG00000002308,385,305
ENSMUSG00000002319,2143,1964
ENSMUSG00000002320,1493,1312
ENSMUSG00000002324,172,156
ENSMUSG00000002325,979,696
ENSMUSG00000002326,465,403
ENSMUSG00000002329,1057,659
ENSMUSG00000002332,2148,2142
